aalib                          @1.4rc5         graphics/aalib
MailtoMutt                     @0.4.1          aqua/MailtoMutt
makedepend                     @1.0.4          x11/makedepend
makeicns                       @1.4.10         graphics/makeicns
makepasswd                     @1.10-3         security/makepasswd
maven2                         @2.2.1          java/maven2
maven3                         @3.0.4          java/maven3
maven_select                   @0.3            sysutils/maven_select
mcabber                        @0.9.10         net/mcabber
mcrypt                         @2.6.8          sysutils/mcrypt
md5deep                        @4.2            security/md5deep
md5sha1sum                     @0.9.5          sysutils/md5sha1sum
memcached                      @1.4.13         sysutils/memcached
mercurial                      @2.2.3          devel/mercurial
mesa                           @8.0.4          x11/mesa
metis                          @5.0.2          math/metis
mhash                          @0.9.9.9        devel/mhash
mkfontdir                      @1.0.7          x11/mkfontdir
mkfontscale                    @1.1.0          x11/mkfontscale
mmv                            @1.01b-14       sysutils/mmv
mochiweb                       @2.3.0          erlang/mochiweb
mono                           @2.10.9         devel/mono
mosh                           @1.2.2          net/mosh
mosml                          @2.01           lang/mosml
mpc                            @0.22           audio/mpc
mpfr                           @3.1.0-p3       devel/mpfr
mpich2                         @1.4.1p1        science/mpich2
MPlayer                        @1.1            multimedia/MPlayer
msmtp                          @1.4.28         mail/msmtp
mtr                            @0.82           net/mtr
multimarkdown                  @3.5            textproc/multimarkdown
multitail                      @5.2.2          sysutils/multitail
mutt-devel                     @1.5.21         mail/mutt-devel
muttils                        @1.1            mail/muttils
muttprint                      @0.72d          mail/muttprint
mysql5                         @5.1.63         databases/mysql5
mysql5-server                  @5.1.63         databases/mysql5-server
nasm                           @2.10           lang/nasm
nbtscan                        @1.5.1          security/nbtscan
ncftp                          @3.2.5          net/ncftp
ncurses                        @5.9            devel/ncurses
neon                           @0.29.6         www/neon
net-snmp                       @5.7.1          net/net-snmp
netdude                        @0.5.1          net/netdude
nethack                        @3.4.3          games/nethack
netpbm                         @10.59.00       graphics/netpbm
netpipes                       @4.2            net/netpipes
netwalker-ircc                 @0.5.0          irc/netwalker-ircc
nginx                          @1.2.2          www/nginx
ngrep                          @1.45           net/ngrep
nload                          @0.7.2          net/nload
nmap                           @6.01           net/nmap
nodejs                         @0.8.4          devel/nodejs
nosetests_select               @0.1            python/nosetests_select
npm                            @1.1.45         devel/npm
nspr                           @4.8.9          devel/nspr
nss                            @3.13.3         net/nss
ntfs-3g                        @2012.1.15      fuse/ntfs-3g
oath-toolkit                   @1.10.4         security/oath-toolkit
ocaml                          @4.00.0         lang/ocaml
oniguruma4                     @4.7.1          devel/oniguruma4
opencore-amr                   @0.1.3          audio/opencore-amr
opencv                         @2.4.2          graphics/opencv
openexr                        @1.7.0          graphics/openexr
openjpeg                       @1.5.0          graphics/openjpeg
openldap                       @2.4.21         databases/openldap
openmotif                      @2.3.3          x11/openmotif
openmpi                        @1.5.5          science/openmpi
openssh                        @6.0p1          net/openssh
openssl                        @1.0.1c         devel/openssl
openvpn                        @1.6.0          net/openvpn
openvpn2                       @2.2.1          net/openvpn2
ophcrack                       @3.3.1          security/ophcrack
orbit2                         @2.14.19        devel/orbit2
orc                            @0.4.16         devel/orc
ossp-uuid                      @1.6.2          devel/ossp-uuid
p5-xml-parser                  @2.400.0        perl/p5-xml-parser
p5.12-appconfig                @1.660.0        perl/p5-appconfig
p5.12-archive-tar              @1.840.0        perl/p5-archive-tar
p5.12-astro-fits-cfitsio       @1.60.0         perl/p5-astro-fits-cfitsio
p5.12-astro-fits-header        @3.30.0         perl/p5-astro-fits-header
p5.12-audio-flac-header        @2.400.0        perl/p5-audio-flac-header
p5.12-cam-pdf                  @1.520.0        perl/p5-cam-pdf
p5.12-carp-assert              @0.200.0        perl/p5-carp-assert
p5.12-carp-assert-more         @1.120.0        perl/p5-carp-assert-more
p5.12-carp-clan                @6.40.0         perl/p5-carp-clan
p5.12-class-inspector          @1.250.0        perl/p5-class-inspector
p5.12-clone                    @0.310.0        perl/p5-clone
p5.12-compress-raw-bzip2       @2.52.0         perl/p5-compress-raw-bzip2
p5.12-compress-raw-zlib        @2.54.0         perl/p5-compress-raw-zlib
p5.12-cpan-meta-yaml           @0.8.0          perl/p5-cpan-meta-yaml
p5.12-crypt-passwdmd5          @1.300.0        perl/p5-crypt-passwdmd5
p5.12-crypt-rc4                @2.20.0         perl/p5-crypt-rc4
p5.12-curses                   @1.150.0        perl/p5-curses
p5.12-dancer                   @1.309.200      perl/p5-dancer
p5.12-dancer-plugin-database   @1.810.0        perl/p5-dancer-plugin-database
p5.12-data-dump                @1.210.0        perl/p5-data-dump
p5.12-dbi                      @1.616.0        perl/p5-dbi
p5.12-devel-ppport             @3.200.0        perl/p5-devel-ppport
p5.12-encode-locale            @1.20.0         perl/p5-encode-locale
p5.12-error                    @0.170.160      perl/p5-error
p5.12-extutils-cbuilder        @0.280.205      perl/p5-extutils-cbuilder
p5.12-extutils-f77             @1.160.0        perl/p5-extutils-f77
p5.12-extutils-install         @1.540.0        perl/p5-extutils-install
p5.12-extutils-parsexs         @2.220.600      perl/p5-extutils-parsexs
p5.12-file-listing             @6.20.0         perl/p5-file-listing
p5.12-file-remove              @1.520.0        perl/p5-file-remove
p5.12-file-temp                @0.220.0        perl/p5-file-temp
p5.12-font-afm                 @1.200.0        perl/p5-font-afm
p5.12-font-ttf                 @0.480.0        perl/p5-font-ttf
p5.12-gd                       @2.450.0        perl/p5-gd
p5.12-getopt-long              @2.380.0        perl/p5-getopt-long
p5.12-html-form                @6.0.0          perl/p5-html-form
p5.12-html-format              @2.90.0         perl/p5-html-format
p5.12-html-parser              @3.690.0        perl/p5-html-parser
p5.12-html-tagset              @3.200.0        perl/p5-html-tagset
p5.12-html-tree                @4.200.0        perl/p5-html-tree
p5.12-http-body                @1.110.0        perl/p5-http-body
p5.12-http-cookies             @6.0.0          perl/p5-http-cookies
p5.12-http-daemon              @6.0.0          perl/p5-http-daemon
p5.12-http-date                @6.0.0          perl/p5-http-date
p5.12-http-message             @6.20.0         perl/p5-http-message
p5.12-http-negotiate           @6.0.0          perl/p5-http-negotiate
p5.12-http-server-simple       @0.430.0        perl/p5-http-server-simple
p5.12-http-server-simple-psgi  @0.140.0        perl/p5-http-server-simple-psgi
p5.12-inline                   @0.460.0        perl/p5-inline
p5.12-io-compress              @2.52.0         perl/p5-io-compress
p5.12-io-kqueue                @0.320.0        perl/p5-io-kqueue
p5.12-io-pty-easy              @0.70.0         perl/p5-io-pty-easy
p5.12-io-socket-ssl            @1.440.0        perl/p5-io-socket-ssl
p5.12-io-stringy               @2.110.0        perl/p5-io-stringy
